imdb_id,vote_average,vote_count
tt0114709,7.7,5415
tt0113497,6.9,2413
tt0113228,6.5,92
tt0114885,6.1,34
tt0113041,5.7,173
tt0113277,7.7,1886
tt0114319,6.2,141
tt0112302,5.4,45
tt0114576,5.5,174
tt0113189,6.6,1194
tt0112346,6.5,199
tt0112896,5.7,210
tt0112453,7.1,423
tt0113987,7.1,72
tt0112760,5.7,137
tt0112641,7.8,1343
tt0114388,7.2,364
tt0113101,6.5,539
tt0112281,6.1,1128
tt0113845,5.4,224
tt0113161,6.4,305
tt0112722,6.5,199
tt0112401,6,394
tt0114168,6.3,143
tt0113627,7.1,365
tt0114057,7,33
tt0114011,6.6,91
tt0114117,7.4,36
tt0112682,7.6,308
tt0115012,6.5,17
tt0112792,6.4,249
tt0114746,7.4,2470
tt0114952,6.8,4
tt0112431,6,756
tt0112637,6.4,16
tt0112818,7.3,350
tt0112286,3.5,2
tt0113442,6.1,149
tt0112697,6.9,828
tt0112749,6.7,13
tt0114279,6.9,50
tt0112819,6.6,80
tt0114272,6.3,30
tt0113855,5.4,452
tt0114681,6.7,177
tt0113347,6.5,38
tt0114369,8.1,5915
tt0114148,6.7,1509
tt0114916,5.9,10
tt0114814,8.1,3334
tt0109950,6.3,3
tt0113819,6.7,145
tt0110299,7.7,11
tt0112499,5.2,41
tt0113158,6.1,15
tt0113541,3,1
tt0113321,6.3,39
tt0110877,7.6,181
tt0112714,6.5,2
tt0113419,5.9,136
tt0116260,5.8,65
tt0113862,6.9,115
tt0116126,6.2,192
tt0118002,4.5,14
tt0115683,4.4,110
tt0116839,2.8,32
tt0114753,5.4,11
tt0113149,6,43
tt0113118,7,513
tt0116367,6.9,1644
tt0113010,4.1,54
tt0113537,7,36
tt0113828,6.6,8
tt0115644,5.1,27
tt0115676,3.9,16
tt0114367,6.1,154
tt0113973,7.3,3
tt0112744,6.1,74
tt0116731,5.5,91
tt0112445,7.5,20
tt0114660,6.7,87
tt0112379,7.2,26
tt0114039,4.5,2
tt0113612,0,0
tt0112365,6.3,17
tt0118158,6.3,86
tt0116151,5.1,59
tt0115697,6,124
tt0113972,6.1,190
tt0113490,6.7,3
tt0117002,5.7,77
tt0114825,4.5,113
tt0115639,6.6,103
tt0115759,5.7,459
tt0113403,7.5,6
tt0113247,7.9,695
tt0111173,5.6,13
tt0113283,6.8,4
tt0115907,6,67
tt0115734,6.8,285
tt0117102,3.3,16
tt0118040,5.3,22
tt0116483,6.5,767
tt0112579,7.3,397
tt0110251,5.1,5
tt0117110,6.5,93
tt0112646,7,2
tt0113276,0,0
tt0112573,7.7,3404
tt0075314,8.1,2632
tt0113326,6.5,245
tt0115645,5.8,37
tt0113774,7.5,2
tt0112556,7,23
tt0112373,7.3,4
tt0115033,6.9,19
tt0116606,5.4,11
tt0114536,5.1,7
tt0117427,5.2,21
tt0106473,7,7
tt0103859,5.4,139
tt0109424,7.9,249
tt0114808,6.8,29
tt0116324,6.3,66
tt0110647,4.4,105
tt0111055,4.3,3
tt0110217,0,0
tt0114131,7,2
tt0112364,5.6,9
tt0113107,5.4,4
tt0113451,5.1,45
tt0114015,5.5,1
tt0114500,0,0
tt0116130,5.6,110
tt0113125,6.5,2
tt0113756,3.8,2
tt0113952,7.2,5
tt0114618,0,0
tt0118055,5.9,51
tt0115685,6.7,303
tt0113200,7,2
tt0112585,6.3,23
tt0112442,6.5,1729
tt0112342,5,31
tt0112461,7.2,472
tt0112427,6,11
tt0109093,6.5,21
tt0112384,7.3,1637
tt0114287,6.5,151
tt0112288,6.4,46
tt0112462,5.2,1529
tt0061395,7.3,163
tt0112495,6.4,21
tt0112541,6.8,28
tt0109370,5.9,57
tt0112642,6,1045
tt0112688,6.8,69
tt0112715,5,214
tt0112740,7,508
tt0109508,7.6,71
tt0112851,6.8,898
tt0112857,6.3,88
tt0112864,6.9,2094
tt0112887,5.6,57
tt0113044,0,0
tt0113071,5.9,319
tt0113114,5.5,130
tt0113243,6.2,406
tt0113464,6.5,19
tt0113481,5.5,380
tt0113492,5.4,643
tt0113500,4,34
tt0113540,6.8,280
tt0113677,7.2,64
tt0113690,5.9,87
tt0107447,7,7
tt0113729,5.5,27
tt0113749,6.8,400
tt0113820,5.2,153
tt0113851,5.6,10
tt0110604,6.4,36
tt0110620,5.9,12
tt0113957,5.6,359
tt0113986,5.5,171
tt0114095,5.8,14
tt0114194,6.4,139
tt0114241,10,1
tt0114323,7.2,62
tt0114345,5.5,111
tt0114435,5.3,2
tt0114436,4.9,261
tt0114478,7.2,115
tt0114496,5.7,60
tt0114508,5.5,457
tt0114534,6.6,6
tt0114558,6.8,334
tt0058450,7.6,119
tt0114666,4.6,9
tt0114663,6.1,18
tt0114702,6.5,112
tt0114682,6.3,117
tt0114781,5.6,217
tt0114798,6.4,9
tt0114805,6,6
tt0114887,6.5,168
tt0114898,5.9,1017
tt0114928,5.1,25
tt0114938,5.9,27
tt0109340,6,11
tt0112602,4.9,29
tt0111579,6.7,35
tt0110882,7.7,45
tt0112471,7.7,984
tt0112508,6.2,464
tt0112438,4.7,27
tt0112571,6.3,48
tt0112757,7.2,58
tt0112643,5.8,40
tt0112679,6.5,30
tt0109445,7.4,769
tt0112883,6.3,184
tt0109635,5.9,217
tt0112899,2.5,1
tt0109676,5.1,91
tt0112854,5.3,9
tt0109579,7.1,92
tt0109642,7.1,183
tt0109686,6.5,1894
tt0111797,7.5,76
tt0109759,6.5,64
tt0109758,4.3,28
tt0109707,7.3,639
tt0113117,6.2,179
tt0113097,6.1,38
tt0113028,5.6,27
tt0113198,6.7,404
tt0113303,5,24
tt0113089,6.6,48
tt0109771,5.9,20
tt0113199,3,4
tt0113234,5,2
tt0109906,5.4,9
tt0110057,7.7,91
tt0110005,6.9,299
tt0110066,6,17
tt0110116,6.9,90
tt0110006,6,97
tt0113360,6,25
tt0110099,5.9,112
tt0110148,7.2,1558
tt0113463,5.2,10
tt0110189,4.8,10
tt0110216,4.7,381
tt0113501,6,124
tt0113538,4.3,40
tt0113552,5.7,83
tt0076759,8.1,6778
tt0110367,7,222
tt0113670,7.4,207
tt0110296,7.4,14
tt0109731,6.6,22
tt0103994,6.6,70
tt0110322,7.2,636
tt0110443,6.1,164
tt0110365,6.4,31
tt0107566,5.7,9
tt0110391,4.3,11
tt0113691,6.4,28
tt0110428,6.7,67
tt0109836,6.1,272
tt0113755,5.1,40
tt0110538,5.2,37
tt0110516,5.6,49
tt0110527,6.4,199
tt0113808,5.6,7
tt0113896,7,11
tt0113870,6.9,140
tt0110684,7,56
tt0110638,6.1,128
tt0113967,6.9,7
tt0117169,0,0
tt0106402,4,4
tt0113948,4.6,10
tt0110671,7.4,4
tt0110632,6.9,927
tt0110737,6.4,92
tt0110729,7.6,106
tt0114151,4.6,32
tt0114069,6.4,522
tt0110413,8.2,4293
tt0114113,6.6,9
tt0114210,7,2
tt0110912,8.3,8670
tt0114084,6.4,6
tt0105652,6.1,9
tt0110889,6.4,32
tt0110932,7.1,262
tt0114129,7.4,5
tt0110963,7,67
tt0114214,6.2,431
tt0114296,6.4,7
tt0110907,5.3,33
tt0111495,7.8,246
tt0108394,7.7,311
tt0111507,7.3,218
tt0110769,7,2
tt0114268,5.1,15
tt0110965,4.7,3
tt0114571,5,6
tt0111333,6.5,251
tt0111112,6.1,15
tt0111255,5.5,317
tt0111282,6.8,942
tt0111070,6.3,501
tt0111161,8.5,8358
tt0111149,7,247
tt0108260,6,7
tt0106966,7.1,16
tt0114594,6.7,104
tt0111309,6,21
tt0113936,5.7,23
tt0110081,7.7,62
tt0114614,5.5,140
tt0114608,6.7,96
tt0111280,6.4,461
tt0114609,5.4,33
tt0111454,5.8,8
tt0114852,5.6,165
tt0114694,6.8,321
tt0111590,6.1,15
tt0114788,5.6,15
tt0114888,6.6,4
tt0108550,7.5,943
tt0114857,5.4,163
tt0114924,6.5,340
tt0111667,6.3,39
tt0109655,5.5,2
tt0110598,6.9,104
tt0112435,5.3,23
tt0109040,6.4,1684
tt0109045,7.2,174
tt0106339,6.2,37
tt0104779,7,115
tt0109348,7,130
tt0109444,6.4,390
tt0109446,6.4,287
tt0109484,6.4,83
tt0109504,6.7,31
tt0109506,7.3,980
tt0109450,6.1,29
tt0109813,5,559
tt0109830,8.2,8147
tt0109831,6.6,654
tt0113305,6.4,49
tt0110091,6.3,4
tt0110093,5.3,41
tt0110167,6.1,154
tt0110213,5.9,107
tt0107472,7.3,5
tt0110357,8,5520
tt0107426,6,76
tt0111686,6.4,297
tt0110475,6.6,2550
tt0110478,6.6,490
tt0110588,6.3,20
tt0110622,6.4,535
tt0110771,6.1,40
tt0110950,6.5,180
tt0105226,6.4,71
tt0110989,5.4,426
tt0111054,4.9,7
tt0110997,6.1,214
tt0111257,6.8,1814
tt0111256,5.5,24
tt0111438,5.5,288
tt0111503,6.8,1138
tt0111693,6,71
tt0111742,6,221
tt0111756,6.5,203
tt0112443,4.9,12
tt0110455,6.5,2
tt0111048,6.1,22
tt0110399,6,31
tt0112570,2,1
tt0109454,5.9,9
tt0059170,6.5,59
tt0110186,5.9,9
tt0108069,7.1,8
tt0111301,4.1,330
tt0112702,6.7,13
tt0112849,0,0
tt0113014,6.3,6
tt0113043,3.4,7
tt0113104,7.5,4
tt0113173,10,1
tt0113319,0,0
tt0113827,4,1
tt0114047,0,0
tt0112889,5,1
tt0109339,4,1
tt0110027,4.5,110
tt0109785,5,2
tt0113409,7.1,307
tt0109021,7.2,22
tt0109035,6.7,40
tt0106220,6.5,537
tt0111804,4.5,4
tt0106226,7,172
tt0109068,5.8,222
tt0109067,5.1,42
tt0106292,4.9,58
tt0109198,4.6,61
tt0109219,6.6,20
tt0106379,5,15
tt0106400,5,86
tt0109254,5.5,445
tt0109279,6.6,68
tt0109297,6.3,45
tt0109303,6,126
tt0109305,5.7,41
tt0109306,6.1,28
tt0106452,5.8,102
tt0106471,4.5,59
tt0106489,7.4,447
tt0109361,4.9,28
tt0106505,3.7,10
tt0106519,7.7,805
tt0109439,4.9,103
tt0109443,5.7,25
tt0106582,6.1,600
tt0106598,4.8,228
tt0109456,5.4,117
tt0109480,5,36
tt0109493,5.1,38
tt0106660,5.4,9
tt0106673,6.3,205
tt0106677,7.4,588
tt0106697,6.4,1018
tt0109729,7.1,12
tt0106834,4.2,29
tt0106873,5.4,37
tt0106332,7.8,98
tt0109783,3.3,6
tt0106881,6.8,80
tt0106880,5.8,11
tt0111732,6.1,54
tt0106926,6.2,22
tt0111712,4.3,3
tt0106941,5.7,77
tt0106918,6.6,513
tt0106965,6,429
tt0109842,7.6,56
tt0106977,7.2,1240
tt0107004,5.9,44
tt0109890,5.4,81
tt0109891,4.5,43
tt0109913,3.9,5
tt0109920,5.2,11
tt0107057,5.6,21
tt0107076,6.1,237
tt0107096,6.4,51
tt0107144,6.2,463
tt0113674,4.7,12
tt0112966,6.1,83
tt0107151,6.7,135
tt0110064,4.6,11
tt0110074,7.1,280
tt0110097,5.7,18
tt0110123,4.7,54
tt0107206,6.8,392
tt0107207,7.6,363
tt0110137,3.9,5
tt0108551,6.9,75
tt0110197,4.6,17
tt0107286,6.4,79
tt0107290,7.6,4956
tt0107302,6.5,209
tt0110265,6.1,111
tt0107322,6.4,33
tt0110305,6.1,54
tt0107362,6.1,725
tt0107413,5.1,24
tt0110353,5.7,40
tt0107468,6.6,35
tt0107478,5.3,86
tt0107497,5.9,105
tt0107501,6.2,125
tt0107507,7.1,169
tt0107554,7.2,179
tt0116253,5.8,261
tt0074102,6.5,112
tt0111689,7,7
tt0107616,7.2,194
tt0107611,5.9,35
tt0107613,5.5,11
tt0107614,7,1638
tt0107653,7.5,105
tt0110657,4.8,202
tt0110649,4.8,5
tt0110678,6.1,86